Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	88a56760-05b6-4abc-bbbc-0dc6a9a4f394
Plate Name	2.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	2	7	600	358	[570,333,625,381]	-1274.18	2314.43					9	62	0.0017767	3	0.00178891	148.728	0.852152	5.49859	3.69708	
2	3	0	2	8	699	360	[681,341,719,391]	-1243.89	2312					10	62	0.00141186	3	0.00198282	134.183	0.913448	5.49859	4.09782	
2	3	0	2	9	960	520	[941,500,989,541]	-1165.04	2265.64					11	113	0.00343771	6	0.00413223	128.773	0.907355	10.0216	7.78237	
2	3	0	2	10	653	758	[624,734,676,784]	-1258.49	2195.03					12	0	0	0	0	161.676	0.807335	0	0	
2	3	0	2	11	623	785	[607,765,650,803]	-1266.02	2186.93					13	0	0	0	0	89.0416	0.807399	0	0	
2	3	0	2	12	77	51	[51,25,102,82]	-1429.25	2405.28					15	319	0.0079659	13	0.00565217	203.98	0.924085	28.2911	13.8696	
2	3	0	2	13	692	95	[666,70,724,121]	-1245.42	2392.69					16	212	0.00751041	8	0.00339847	208.769	0.956255	18.8016	9.00595	
2	3	0	2	14	919	144	[895,114,943,173]	-1178.66	2378.19					17	290	0.00729307	10	0.00459559	192.983	0.888868	25.7192	13.3272	
2	3	0	2	15	42	161	[22,138,66,193]	-1439.03	2371.96					18	519	0.0179091	18	0.00989011	161.41	0.943759	46.0285	28.5165	
2	3	0	2	16	112	226	[86,201,138,253]	-1418.94	2353.32					19	0	0	0	0	180.034	0.897191	0	0	
2	3	0	2	17	608	510	[584,475,634,541]	-1270.96	2269.5					20	0	0	0	0	217.992	0.852709	0	0	
2	3	0	2	18	509	574	[478,541,540,612]	-1300.41	2249.42					22	30	0.000360156	1	0.000291206	304.551	0.864383	2.66061	0.873617	
2	3	0	2	19	600	619	[570,590,628,650]	-1273.86	2236.4					23	0	0	0	0	217.549	0.846373	0	0	
2	3	0	2	20	1044	685	[1015,664,1066,709]	-1142.42	2216.4					24	99	0.00284752	5	0.0029036	152.719	0.936453	8.78	5.74913	
2	3	0	2	21	487	730	[449,697,526,763]	-1306.79	2203.32					25	26	0.000297009	1	0.000252207	351.644	0.886544	2.30586	0.655738	
2	3	0	2	22	260	822	[229,794,291,850]	-1374.88	2175.99					26	0	0	0	0	235.198	0.858616	0	0	
2	3	0	2	23	130	826	[97,801,155,854]	-1414.62	2174.72					27	371	0.00914741	14	0.00599829	206.995	0.931902	32.9028	15.8955	
2	3	0	2	24	184	922	[161,899,209,946]	-1397.2	2146.42					28	122	0.00287473	5	0.00273523	162.12	0.946143	10.8198	6.67396	
2	3	0	22	1	945	59	[927,41,968,78]	-524.26	1757.37					1	41	0.00224146	1	0.000833333	106.424	0.990194	3.63616	3.41667	
2	3	0	22	2	650	185	[630,165,678,206]	-611.39	1719.92					2	74	0.00241823	3	0.00194175	137.021	0.901486	6.56283	4.78964	
2	3	0	22	3	752	664	[731,645,772,683]	-582.54	1577.26					3	0	0	0	0	110.681	0.935625	0	0	
2	3	0	22	4	926	762	[904,741,949,796]	-530.8	1546.29					4	528	0.0177084	14	0.00772627	160.701	0.926611	46.8267	29.1391	
2	3	0	22	5	985	772	[959,756,1001,795]	-513.61	1544.67					5	373	0.0281506	12	0.0112676	94.4515	0.81274	33.0802	35.0235	
2	3	0	22	6	964	802	[938,781,995,824]	-519.31	1535.83					6	423	0.0192011	17	0.00955056	157.863	0.868981	37.5146	23.764	
2	3	0	22	7	829	821	[807,803,849,840]	-560.04	1530.51					7	52	0.00191437	2	0.00168634	105.183	0.917106	4.61172	4.38449	
2	3	0	22	8	662	884	[638,858,686,924]	-609.65	1509.67					8	46	0.00545585	1	0.000440141	201.497	0.886752	4.0796	2.02465	
2	3	0	22	9	697	931	[679,913,715,954]	-598.85	1497.22					9	28	0.00146288	1	0.000853242	103.941	0.910771	2.48323	2.38908	
2	3	0	22	10	66	976	[39,955,96,1003]	-786.29	1484.35					11	126	0.00323894	4	0.0021575	164.426	0.838933	11.1745	6.79612	
2	3	0	22	11	637	235	[611,212,671,259]	-615.65	1704.98					13	531	0.0226479	16	0.00738007	192.273	0.952325	47.0927	24.4926	
2	3	0	22	12	667	335	[642,311,691,360]	-607.71	1675.6					14	161	0.00372057	7	0.0035769	173.56	0.953613	14.2786	8.22688	
2	3	0	22	13	654	688	[629,664,680,713]	-611.68	1570.18					15	23	0.000761666	1	0.000529661	167.441	0.906008	2.0398	1.21822	
2	3	0	22	14	51	921	[24,899,76,943]	-791.51	1501.21					16	35	0.000970338	1	0.000589275	150.502	0.913682	3.10404	2.06246	
2	3	0	11	1	824	264	[801,247,847,280]	1376.3	2019.85					2	24	0.000876302	1	0.0008	110.859	0.90167	2.12849	1.92	
2	3	0	11	2	785	351	[754,328,822,374]	1365.92	1993.89					3	355	0.0072147	15	0.00591949	224.733	0.919462	31.4838	14.0095	
2	3	0	30	1	446	686	[420,660,473,717]	941.03	1247.54					3	180	0.00554828	8	0.00346921	204.512	0.912811	15.9636	7.80572	
2	3	0	30	2	597	704	[568,675,627,741]	985.92	1241.66					4	235	0.0039067	7	0.00228758	271.382	0.955143	20.8414	7.67974	
2	3	0	30	3	1027	739	[1001,714,1054,765]	1114.06	1231.79					5	155	0.00507745	6	0.00290839	182.961	0.892688	13.7465	7.51333	
2	3	0	30	4	517	812	[490,788,545,837]	962.07	1210.3					6	122	0.0037819	5	0.00241196	183.848	0.895187	10.8198	5.88519	
2	3	0	25	1	1013	219	[991,199,1036,238]	464.26	1709.84					1	68	0.00291105	2	0.00147059	120.614	0.929697	6.03071	5	
2	3	0	25	2	244	316	[219,289,280,341]	236.72	1681.54					2	165	0.00313386	6	0.00229008	232.36	0.913241	14.6333	6.29771	
2	3	0	25	3	517	452	[496,431,538,478]	316.46	1639.86					3	48	0.00159156	2	0.00122249	145.092	0.924181	4.25697	2.93399	
2	3	0	25	4	129	518	[106,498,150,543]	200.13	1620.63					4	0	0	0	0	124.073	0.911636	0	0	
2	3	0	25	5	157	538	[135,517,176,557]	208.97	1615.15					5	0	0	0	0	104.296	0.912585	0	0	
2	3	0	25	6	121	750	[101,725,141,777]	198.28	1551.55					6	45	0.00212762	2	0.00117371	151.122	0.89424	3.99091	2.64085	
2	3	0	25	7	115	814	[95,799,136,831]	196.18	1532.79					7	0	0	0	0	83.5431	0.937128	0	0	
2	3	0	25	8	386	987	[365,953,406,1009]	277.08	1482.71					8	24	0.000491121	1	0.000586166	151.3	0.901959	2.12849	1.4068	
2	3	0	25	9	461	446	[439,424,484,471]	299.75	1641.85					9	219	0.00668684	8	0.00472534	150.147	0.950465	19.4224	12.9356	
2	3	0	25	10	293	1019	[269,995,316,1046]	249.53	1471.51					10	57	0.00189431	2	0.00107991	164.248	0.953264	5.05515	3.07775	
2	3	0	7	1	1054	118	[1036,99,1071,145]	476.2	2384.62					1	24	0.000693466	1	0.000808407	109.706	0.949041	2.12849	1.94018	
2	3	0	7	2	147	177	[125,151,170,208]	206.09	2367.66					3	0	0	0	0	173.117	0.909872	0	0	
2	3	0	7	3	345	203	[317,180,369,225]	264.63	2360.63					4	0	0	0	0	163.805	0.861806	0	0	
2	3	0	7	4	430	233	[412,209,448,256]	290.67	2351.63					5	24	0.000787753	1	0.000727273	121.944	0.935629	2.12849	1.74545	
2	3	0	7	5	357	289	[337,272,375,306]	268.59	2335					6	0	0	0	0	90.9928	0.932892	0	0	
2	3	0	7	6	81	330	[63,312,106,348]	187.42	2322.74					7	0	0	0	0	107.489	0.93786	0	0	
2	3	0	7	7	74	655	[49,638,101,678]	184.6	2225.33					9	51	0.00136855	2	0.00127959	138.618	0.864028	4.52303	3.26296	
2	3	0	7	8	230	669	[210,650,249,697]	230.29	2220.92					10	145	0.00424542	5	0.00362845	122.211	0.981401	12.8596	10.5225	
2	3	0	7	9	219	791	[199,771,239,810]	227.25	2185.38					11	0	0	0	0	109.617	0.939413	0	0	
2	3	0	7	10	361	988	[340,966,382,1018]	269.78	2125.58					12	0	0	0	0	149.703	0.910873	0	0	
2	3	0	7	11	383	132	[337,85,429,182]	276.47	2381.13					13	1402	0.0128153	45	0.00665779	599.435	0.904369	124.339	20.7427	
2	3	0	7	12	626	218	[604,196,657,240]	350.11	2356.11					14	146	0.00473902	6	0.00320684	165.933	0.943871	12.9483	7.80331	
2	3	0	7	13	216	282	[188,250,244,311]	226.69	2337.38					15	0	0	0	0	229.078	0.888656	0	0	
2	3	0	7	14	497	306	[472,283,520,336]	310.11	2328.96					16	0	0	0	0	175.068	0.909005	0	0	
2	3	0	7	15	325	507	[299,481,350,539]	258.93	2269.07					17	337	0.0098925	13	0.00531915	216.751	0.918631	29.8875	13.7889	
2	3	0	7	16	158	591	[133,569,182,615]	209.06	2244.88					18	96	0.00469041	3	0.00176574	150.679	0.96036	8.51394	5.65038	
2	3	0	7	17	363	845	[338,820,394,871]	271.11	2169.41					19	41	0.000779618	2	0.000877963	202.029	0.918994	3.63616	1.79982	
2	3	0	7	18	80	968	[45,944,106,993]	184.86	2132.64					20	69	0.00249276	3	0.00121902	218.258	0.922294	6.1194	2.80374	
2	3	0	7	19	233	1041	[206,1015,261,1066]	231.75	2111.04					21	31	0.000908526	1	0.000464253	191.032	0.871574	2.74929	1.43918	
2	3	0	19	1	45	412	[27,394,63,442]	-1438.81	1973.69					4	0	0	0	0	117.067	0.905397	0	0	
2	3	0	19	2	451	503	[436,486,466,528]	-1317.94	1947.31					5	0	0	0	0	87.534	0.931797	0	0	
2	3	0	19	3	430	580	[413,562,450,604]	-1323.64	1924.52					6	0	0	0	0	104.651	0.923369	0	0	
2	3	0	19	4	875	742	[859,726,893,771]	-1191.3	1875.47					7	0	0	0	0	103.498	0.9085	0	0	
2	3	0	19	5	509	751	[489,733,530,770]	-1300.61	1874.23					8	27	0.00105097	1	0.000823045	107.755	0.967489	2.39455	2.22222	
2	3	0	19	6	914	786	[896,769,931,804]	-1180.24	1863.95					9	252	0.0253507	10	0.0118624	74.7631	0.877814	22.3491	29.8932	
2	3	0	19	7	885	795	[870,767,921,822]	-1187.08	1860.36					10	0	0	0	0	133.917	0.706487	0	0	
2	3	0	19	8	176	840	[157,822,197,859]	-1399.57	1847.83					11	27	0.00159789	1	0.000831947	106.602	0.933353	2.39455	2.24626	
2	3	0	19	9	180	941	[160,925,199,958]	-1398.62	1817.75					12	66	0.0120547	2	0.00213904	82.9222	0.912607	5.85334	7.05882	
2	3	0	19	10	768	183	[741,160,794,207]	-1223.58	2043.37					13	37	0.00165662	1	0.000529942	167.352	0.898932	3.28142	1.96078	
2	3	0	19	11	231	464	[208,442,256,487]	-1383.38	1959.94					14	109	0.00258964	4	0.00236267	150.147	0.877009	9.66687	6.43828	
2	3	0	19	12	157	670	[127,627,188,701]	-1405.61	1899.98					16	196	0.00289204	8	0.00237671	298.52	0.928337	17.3826	5.82294	
2	3	0	19	13	767	812	[736,782,797,844]	-1223.85	1855.96					17	406	0.00803972	10	0.0034904	254.088	0.822383	36.0069	14.171	
2	3	0	19	14	128	876	[103,854,157,898]	-1413.54	1837.34					18	93	0.00200068	4	0.00207361	171.077	0.945755	8.24788	4.82115	
2	3	0	19	15	1033	967	[1009,941,1058,991]	-1144.81	1810.23					19	92	0.00338744	3	0.00163399	162.829	0.926392	8.15919	5.01089	
2	3	0	19	16	524	1030	[494,998,554,1062]	-1296.24	1791.14					20	198	0.00455986	9	0.00313698	254.443	0.87718	17.56	6.90136	
2	3	0	26	1	698	20	[681,3,715,45]	693.11	1768.33					1	0	0	0	0	103.852	0.919256	0	0	
2	3	0	26	2	964	370	[942,350,985,389]	772.06	1664.93					2	0	0	0	0	116.623	0.928686	0	0	
