Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	65935749-3351-4568-98c5-2890f5477697
Plate Name	MDAWT2H-2
Measurement	Measurement 1
Evaluation	Evaluation4
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	16	15	960	602	[932,576,996,634]	1543.89	-1974.68					20	216.238	18	538.09	4524.85	2141.09	3318.37	1937.33	228	0.0216454	10	0.00665336	81.6264	0.423721	
5	3	0	16	16	516	923	[489,904,546,944]	1277.19	-2167.69					21	151.796	19	404.91	8214.79	2558.18	4769.47	1936.85	112	0.024953	4	0.00353669	40.0972	0.276605	
5	3	0	16	17	566	953	[539,933,598,981]	1310.26	-2186.85					22	226.621	20	469.352	6961.69	2451.93	4298.7	2040.86	0	0	0	0	0	0	
5	3	0	13	1	99	292	[84,273,116,323]	-262.52	-1146.36					2	143.562	2	260.99	5318.05	2096.73	3513.85	1940.26	0	0	0	0	0	0	
5	3	0	13	2	768	887	[754,873,785,911]	136.25	-1502.39					3	133.896	3	151.438	6734.55	2711.58	2955.07	1880.16	0	0	0	0	0	0	
5	3	0	13	3	266	938	[250,922,284,956]	-163.07	-1530.51					4	129.6	4	222.682	8332.46	3286.12	3625.4	2090.08	0	0	0	0	0	0	
5	3	0	13	4	154	81	[135,54,173,104]	-229.78	-1017.18					5	150.364	5	229.485	4814.3	2201.36	2923.67	1913.61	56	0.0306913	2	0.00312012	20.0486	0.244025	
5	3	0	13	5	132	107	[111,78,153,146]	-244.19	-1035.79					6	207.288	6	427.106	3526.1	1905.11	2549.42	1851.08	37	0.00373778	1	0.000838223	13.2464	0.0866295	
5	3	0	13	6	766	168	[750,152,781,194]	135.65	-1071.81					7	142.846	7	210.51	5119.77	2137.2	3199.19	1981.48	167	0.0513828	2	0.00340136	59.7877	0.793311	
5	3	0	13	7	573	162	[532,136,606,192]	21.48	-1067.42					8	250.965	8	685.232	5706.56	2230.47	3293.79	1899.98	268	0.0332045	6	0.0031348	95.9468	0.391109	
